procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 1373724 2913836  39012 735688   21   64   103   146  298  576  2  1 97  0  0
 2  0 1373720 2034592  39012 735688    4    0     4     0  812 1181  1  4 95  0  0
 0  0 1373720 6758844  39020 735688    0    0     0    72  952 1255  1  5 94  0  0
 1  0 1373716 6234700  39020 735688    0    0     0     0  547  684  1  2 98  0  0
 0  0 1373716 5709280  39020 735688    0    0     0     0  426  496  1  1 98  0  0
 0  0 1373716 5183812  39020 735688    0    0     0     0  574  744  1  2 98  0  0
 0  0 1373712 4658480  39020 735688   16    0    16     0  516  617  1  2 97  0  0
 1  0 1373712 4378004  39020 735688    0    0     0     8  472  590  0  1 99  0  0
 0  0 1373712 4132468  39028 735688    0    0     0    16  590  766  0  1 99  0  0
 0  0 1373712 3607300  39028 735688    0    0     0     0  572  707  1  2 98  0  0
 0  0 1373712 3083960  39028 735688    0    0     0     0  500  577  1  2 98  0  0
 0  0 1373712 2558760  39028 735688    0    0     0     0  600  779  1  2 97  0  0
 0  0 1373712 7809896  39028 735688    0    0     0     0  625  833  0  2 97  0  0
 0  0 1373616 7809960  39028 735688  136    0   136     0  452  585  0  0 99  0  0
 0  0 1373616 7809716  39036 735688    0    0     0    20  511  741  1  0 99  0  0
 0  0 1373616 7809716  39036 735688    0    0     0     0  501  651  0  0 99  0  0
 0  0 1373616 7810472  39036 735688    0    0     0     0  409  524  0  0 100  0  0
 0  0 1373616 7810480  39036 735688    0    0     0     0  479  622  0  0 99  0  0
 0  0 1373616 7810480  39036 735688    0    0     0     8  540  707  0  0 99  0  0
